Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit_Risk,Total_Credit_Score,reject
24,female,Unskilled-Resident,rent,moderate,little,11590,48,car,Bad,464.0339991977472,Rejected
63,male,Highly Skilled,free,little,little,13756,60,car,Bad,421.9238497695271,Rejected
60,female,Highly Skilled,free,moderate,moderate,14782,60,vacation/others,Bad,444.4739865856033,Rejected
37,female,Skilled,rent,little,little,7685,48,business,Bad,454.33416928179827,Rejected
57,male,Highly Skilled,free,little,moderate,14318,36,car,Bad,448.15134515124845,Rejected
32,male,Skilled,rent,moderate,moderate,11760,39,education,Bad,468.89354179110035,Rejected
35,male,Highly Skilled,own,little,little,7253,33,car,Bad,451.54089212598166,Rejected
29,male,Highly Skilled,own,little,moderate,11328,24,vacation/others,Bad,500.41097504704425,Rejected
30,male,Highly Skilled,own,little,little,11054,36,car,Bad,451.54089212598166,Rejected
42,female,Highly Skilled,free,little,moderate,8318,27,business,Bad,450.9991060287086,Rejected
29,male,Highly Skilled,rent,moderate,moderate,9034,36,furniture/equipment,Bad,462.2841361058088,Rejected
53,male,Skilled,free,little,little,7119,48,furniture/equipment,Bad,472.16788422330217,Rejected
42,male,Highly Skilled,free,little,little,7763,48,car,Bad,421.9238497695271,Rejected
35,male,Skilled,free,little,little,8858,48,car,Bad,458.15029781127305,Rejected
34,male,Skilled,own,little,little,6999,48,radio/TV,Bad,477.8526737498891,Rejected
31,female,Skilled,own,little,little,6758,48,radio/TV,Bad,480.70043462734924,Rejected
27,male,Highly Skilled,free,little,moderate,9157,60,radio/TV,Bad,454.71560259882534,Rejected
21,male,Skilled,own,little,little,15653,60,radio/TV,Bad,487.55250366583806,Rejected
50,male,Highly Skilled,free,little,little,7476,48,education,Bad,439.33098315628934,Rejected
42,male,Highly Skilled,own,moderate,moderate,8086,36,car,Bad,448.15134515124845,Rejected
37,male,Skilled,own,little,little,10222,48,radio/TV,Bad,477.8526737498891,Rejected
42,male,Highly Skilled,own,little,little,10366,60,car,Bad,421.9238497695271,Rejected
46,male,Skilled,free,little,little,6331,48,car,Bad,454.76075083653996,Rejected
24,male,Skilled,own,moderate,moderate,6560,48,car,Bad,467.850127727222,Rejected
27,male,Highly Skilled,own,little,moderate,14027,60,car,Bad,435.0132266602093,Rejected
63,male,Skilled,own,little,little,7596,30,car,Bad,480.9882462182613,Rejected
59,female,Skilled,rent,little,moderate,6416,48,business,Bad,450.9446223070652,Rejected
30,male,Highly Skilled,own,little,little,14179,39,furniture/equipment,Bad,442.72053013102254,Rejected
25,female,Highly Skilled,own,little,little,8065,36,education,Bad,481.4956163061529,Rejected
38,male,Highly Skilled,own,rich,little,5711,36,car,Bad,469.60800434704817,Rejected
50,male,Skilled,free,little,moderate,6224,48,education,Bad,472.16788422330217,Rejected
41,male,Highly Skilled,own,little,little,6313,24,car,Bad,477.319052133695,Rejected
55,male,Highly Skilled,free,little,moderate,9283,42,car,Bad,421.9238497695271,Rejected
54,female,Skilled,rent,little,moderate,7432,36,car,Bad,477.1721176887865,Rejected
47,male,Skilled,free,little,little,8335,36,car,Bad,480.9882462182613,Rejected
38,male,Skilled,free,little,moderate,6681,48,business,Bad,458.15029781127305,Rejected
23,male,Skilled,own,little,moderate,15672,48,business,Bad,467.850127727222,Rejected
34,male,Highly Skilled,own,little,little,6614,36,car,Bad,451.54089212598166,Rejected
40,male,Skilled,rent,little,little,7824,28,car,Bad,474.32435681132637,Rejected
31,male,Highly Skilled,own,little,little,8947,36,car,Bad,451.54089212598166,Rejected
32,female,Highly Skilled,own,little,moderate,18424,48,vacation/others,Bad,447.8635335603365,Rejected
37,male,Highly Skilled,own,quite rich,little,12749,48,radio/TV,Bad,463.0828849039429,Rejected
39,male,Skilled,free,little,little,10297,48,car,Bad,454.76075083653996,Rejected
46,male,Highly Skilled,own,little,little,6842,24,car,Bad,477.319052133695,Rejected
29,male,Skilled,rent,little,little,7166,42,radio/TV,Bad,471.1887843429542,Rejected
36,male,Skilled,rent,little,little,7297,60,business,Bad,451.48640840433814,Rejected
29,male,Highly Skilled,free,little,little,6579,24,car,Bad,480.7085991084282,Rejected
